"id","title","theme","capital","multicapital","location","expected_amount","collected_amount","engaged_number","platform","platform_type","status","any_date","year","start_date","end_date"
"https://melitopol-online.gov.ua/projects/archive/70/show/483","Современное и доступное освещение в многоэтажках","Енергозбереження","Інфраструктурний","","Мелітополь",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://lviv.pb.org.ua/projects/archive/1/show/231","Реставрація брами будинку і дверей сходової клітини","Інші проекти","Інфраструктурний","","Львів",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gp.khm.gov.ua/projects/archive/9/show/77","пізнавальний клуб ""Читанка""","Культура","Культурний","","Хмельницький",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2017",2017,"","2017-01-01"
"https://gp.khm.gov.ua/projects/24","Перлина факультету управління та економіки ХУУП","Освіта","Людський","","Хмельницький",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2019",2019,"","2019-01-01"
"https://lviv.pb.org.ua/projects/archive/1/show/230","Реставрація брами будинку і дверей сходової клітини","Інші проекти","Інфраструктурний","","Львів",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://lviv.pb.org.ua/projects/archive/1/show/232","Реставрація брами будинку і дверей сходової клітини","Інші проекти","Інфраструктурний","","Львів",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/1/show/168","Благоустрій території навколо амбулаторії №2 вул.Двінська 19","Охорона здоров'я","Інфраструктурний","","Київ",20000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://ubb.org.ua/uk/project/463/","Теплий дім для собак","ЕКОЛОГІЯ ТА ТВАРИНИ","Соціальний","False","Суми",20200,20200,0,"UBB","Краудфандинг","Успішний","29.10.2012",2012,"2012-10-29",""
"https://mg.od.ua/projects/social_sport_jym","Социальный спорт-зал «Качни мир с себя»","Спорт и здоровье, Благотворительность","Інфраструктурний","False","Одеса",20526,0,0,"Мой город","Краудфандинг","Неуспішний","16.11.2016",2016,"","2016-11-16"
"https://berdiansk.pb.org.ua/projects/archive/188/show/20","Разом наведемо лад в мікрорайоні","Інше","Інфраструктурний","","Бердянськ",23000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://rivne.pb.org.ua/projects/archive/85/show/411","Навчання педагогів новітнім методам роботи з дітьми з особливостями розвитку.","Освіта","Людський","","Рівне",23900,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"http://bu.mvk.if.ua/projects2016/219","Ремонт балконів","","Інфраструктурний","False","Івано-Франківськ",25000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"https://gb.city.cv.ua/projects/archive/81/show/63","Майданчик для дресирування та вигулу собак","Інше","Інфраструктурний","","Чернівці",25500,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://na-starte.com/project/odesskii-hostel/","Одесский хостел","Мистецтво","Культурний","False","Одеса",25900,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://na-starte.com/project/albom-gruppy-horta-1/","Альбом группы Хорта","Музика","Культурний","False","Запоріжжя",26000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://ubb.org.ua/uk/project/578/","Завдяки тобі у них є завтра","ЕКОЛОГІЯ ТА ТВАРИНИ","Соціальний","False","Київ",26591,26591,0,"UBB","Краудфандинг","Успішний","27.02.2013",2013,"2013-02-27",""
"https://mg.od.ua/projects/book-bench-fairy-tales","Арт-скамейка “Волшебные страницы”","Благоустройство, Культура, Образование","Інфраструктурний","False","Одеса",27000,0,0,"Мой город","Краудфандинг","Неуспішний","13.09.2016",2016,"","2016-09-13"
"https://ubb.org.ua/uk/project/45/","Наше майбутнє – у ваших руках","ОСВІТА","Людський","False","м. Івано-Франківськ",29000,29000,0,"UBB","Краудфандинг","Успішний","23.01.2012",2012,"2012-01-23",""
"https://gb.kyivcity.gov.ua/projects/archive/1/show/536","Pop-up пространство в Голосеевском парке","Культура, туризм","Культурний","","Київ",29000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://na-starte.com/project/trening-reanimatsiya-otnosheniy/","Тренинг ""Про Любовь или Реанимация отношений""","Соціальні проекти","Соціальний","False","Київ",29325,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://gp.khm.gov.ua/projects/archive/208/show/56","Сучасному класу - сучасні парти","Освіта","Людський","","Хмельницький",29789,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
